prefix,name,phonenumber,emailid,city,state,zipcode,country,status
ms.,christopher hicks,+1-066-911-6530907,melissaconrad@example.org,,wallerfurt,new hampshire,tonga,{true}
ind.,ruth flowers,053-988-192320778,brian72@example.net,,garzaborough,nebraska,zambia,{false}
ind.,david guzman,854.627.86811875,gonzalesjohnathan@example.net,,collinsberg,colorado,micronesia,{false}
mx.,dylan fowler,(544)360-4368,hopkinsmadison@example.net,,west elizabethton,vermont,thailand,{false}
miss,brian edwards,680.897.07508459,karenjordan@example.com,,east diana,colorado,pakistan,{false}
dr.,kristine logan,812-402-8228,lynnjoe@example.com,,new bonnie,maryland,liechtenstein,{false}
ms.,sarah walker,+1-011-236-04948205,pughbrittany@example.com,,south ann,louisiana,san marino,{true}
mrs.,don moore,895.267.3365,mary26@example.com,,nortonberg,south carolina,albania,{false}
mrs.,mary suarez,228.667.063108114,parkerkristin@example.net,,lake elizabethbury,ohio,austria,{false}
dr.,jodi zavala,892-379-774115334,lparker@example.org,,east jonathan,nevada,bermuda,{true}
dr.,taylor rivera,+1-678-142-464416131,gordonpaige@example.com,,morganton,oklahoma,turkey,{true}
mr.,frank hall,+1-416-705-1835048,bullockchristopher@example.com,,west benjaminville,kentucky,bosnia and herzegovina,{true}
dr.,monica phillips,+1-786-523-01104906,matthewhorton@example.org,,stanleymouth,hawaii,fiji,{false}
misc.,aaron hall,688.744.350173664,browningshirley@example.net,,port michael,new hampshire,holy see (vatican city state),{false}
mrs.,alexander thomas,268-010-8013318,lisarobinson@example.net,,buckleyshire,texas,kazakhstan,{false}
mx.,jeffrey martinez,001-219-115-6566,freycraig@example.net,,campbellbury,delaware,nepal,{false}
mr.,sarah hawkins,881-555-0430,davisgina@example.com,,south emilyton,wyoming,aruba,{true}
dr.,lisa martinez,(438)829-923313914,walkermaria@example.net,,kimland,oregon,belgium,{true}
miss,eric scott,+1-439-445-80935580,uhale@example.com,,shawnside,wisconsin,barbados,{true}
mx.,robert alexander,+1-938-792-3190838,jarvisjulia@example.net,,new wendy,south dakota,dominican republic,{true}
